sub,group,block,trial,manipulation_stim,manipulation,blue,red,ice,rock,misses,non_manip_minus_manip
5207,extensive,2,21,,,5,6,0,0,1,
5207,extensive,11,33,blue,devaluation,0,10,4,0,1,10.0
5208,extensive,2,21,,,7,0,7,0,0,
5208,extensive,11,33,red,devaluation,6,4,7,0,0,2.0
5209,extensive,2,21,,,7,7,2,0,0,
5209,extensive,11,33,red,devaluation,14,0,0,0,0,14.0
5210,extensive,2,21,,,3,3,4,0,0,
5210,extensive,11,33,red,devaluation,7,0,8,0,0,7.0
5211,extensive,2,21,,,10,10,0,0,0,
5211,extensive,11,33,blue,devaluation,0,10,9,0,0,10.0
5212,extensive,2,21,,,5,7,4,0,0,
5212,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5213,extensive,2,21,,,4,0,10,0,2,
5213,extensive,11,33,blue,devaluation,0,10,5,0,1,10.0
5214,extensive,2,21,,,2,2,5,1,0,
5214,extensive,11,33,blue,devaluation,0,1,5,2,0,1.0
5215,extensive,2,21,,,5,5,7,0,2,
5215,extensive,11,33,red,devaluation,8,0,6,0,0,8.0
5216,extensive,2,21,,,9,9,0,0,0,
5216,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5217,extensive,2,21,,,3,6,3,3,0,
5217,extensive,11,33,red,devaluation,7,2,9,1,1,5.0
5218,extensive,2,21,,,8,3,3,1,0,
5218,extensive,11,33,red,devaluation,9,0,7,2,0,9.0
5219,extensive,2,21,,,3,5,6,0,0,
5219,extensive,11,33,red,devaluation,7,0,6,0,0,7.0
5220,extensive,2,21,,,5,8,3,0,1,
5220,extensive,11,33,red,devaluation,10,0,7,0,0,10.0
5221,extensive,2,21,,,6,8,2,0,1,
5221,extensive,11,33,red,devaluation,10,0,5,0,1,10.0
5222,extensive,2,21,,,1,1,0,0,0,
5222,extensive,11,33,blue,devaluation,0,8,1,0,0,8.0
5223,extensive,2,21,,,5,1,2,0,0,
5223,extensive,11,33,blue,devaluation,5,3,3,0,0,-2.0
5224,extensive,2,21,,,9,10,0,0,0,
5224,extensive,11,33,blue,devaluation,0,8,7,0,1,8.0
5225,extensive,2,21,,,9,8,5,0,0,
5225,extensive,11,33,red,devaluation,10,0,4,0,2,10.0
5226,extensive,2,21,,,8,9,0,0,1,
5226,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5227,extensive,2,21,,,7,7,8,0,1,
5227,extensive,11,33,red,devaluation,10,0,9,0,0,10.0
5228,extensive,2,21,,,3,1,0,0,0,
5228,extensive,11,33,red,devaluation,3,0,1,0,0,3.0
5229,extensive,2,21,,,7,7,9,1,3,
5229,extensive,11,33,blue,devaluation,0,10,7,0,3,10.0
5230,extensive,2,21,,,5,8,8,0,0,
5230,extensive,11,33,blue,devaluation,0,10,8,0,1,10.0
5231,extensive,2,21,,,8,10,0,0,0,
5231,extensive,11,33,blue,devaluation,0,10,2,0,0,10.0
5232,extensive,2,21,,,10,8,1,0,2,
5232,extensive,11,33,red,devaluation,10,0,1,0,0,10.0
5233,extensive,2,21,,,10,10,0,0,0,
5233,extensive,11,33,blue,devaluation,0,10,0,0,0,10.0
5234,extensive,2,21,,,3,5,0,0,0,
5234,extensive,11,33,red,devaluation,8,0,0,0,0,8.0
5235,extensive,2,21,,,6,5,7,0,0,
5235,extensive,11,33,blue,devaluation,0,10,7,0,0,10.0
5236,extensive,2,21,,,6,4,6,1,0,
5236,extensive,11,33,red,devaluation,7,0,6,1,0,7.0
5237,extensive,2,21,,,2,0,0,0,75,
5237,extensive,11,33,red,devaluation,0,0,0,0,76,0.0
5238,extensive,2,21,,,5,5,1,0,1,
5238,extensive,11,33,blue,devaluation,1,9,10,0,2,8.0
5239,extensive,2,21,,,10,10,0,0,0,
5239,extensive,11,33,red,devaluation,10,0,0,0,0,10.0
5240,extensive,2,21,,,4,9,5,0,0,
5240,extensive,11,33,red,devaluation,4,2,6,0,1,2.0
5241,extensive,2,21,,,4,4,5,2,1,
5241,extensive,11,33,blue,devaluation,4,1,4,6,1,-3.0
5242,extensive,2,21,,,5,6,0,0,2,
5242,extensive,11,33,red,devaluation,8,0,1,0,0,8.0
5243,extensive,2,21,,,2,1,2,0,0,
5243,extensive,11,33,red,devaluation,2,0,2,2,0,2.0
